,discount,percent_retail_price,solar_capacity,battery_capacity,objective_value,solar_penetration,lcoe
0,0.0,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
1,0.0,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
2,0.0,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
3,0.0,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
4,0.0,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
5,0.02,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
6,0.02,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
7,0.02,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
8,0.02,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
9,0.02,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
10,0.04,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
11,0.04,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
12,0.04,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
13,0.04,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
14,0.04,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
15,0.06,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
16,0.06,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
17,0.06,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
18,0.06,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
19,0.06,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
20,0.08,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
21,0.08,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
22,0.08,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
23,0.08,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
24,0.08,1.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
25,0.1,0.0,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
26,0.1,0.25,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
27,0.1,0.5,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
28,0.1,0.75,0.0,0.0,466950.4879846821,0.0,0.11290000000000179
